x,y,z
1.9833937355089402,-0.2612808917117378,-0.1
1.9834951889676442,-0.2608456487149458,-0.1
1.9834391621874052,-0.2603395768353843,-0.1
1.9832265746682531,-0.259762384944485,-0.1
1.9828583571209537,-0.25911380733837636,-0.1
1.982335450906211,-0.2583936036246521,-0.1
1.9816588074817523,-0.257601558595562,-0.1
1.9808293878575955,-0.2567374820880421,-0.1
1.979848162059765,-0.2558012088309981,-0.1
1.978716108602719,-0.254792598280266,-0.1
1.9774342139707115,-0.25371153444166866,-0.1
1.9760034721083177,-0.25255792568259366,-0.1
1.9744248839203242,-0.25133170453251785,-0.1
1.972699456781165,-0.25003282747290234,-0.1
1.9708282040540719,-0.24866127471688115,-0.1
1.9688121446200988,-0.24721704997916993,-0.1
1.9666523024171434,-0.24570018023661272,-0.1
1.9643497059891006,-0.24411071547978883,-0.1
1.9619053880452437,-0.24244872845609575,-0.1
1.9593203850299257,-0.24071431440472088,-0.1
1.9565957367026798,-0.23890759078391335,-0.1
1.953732485728777,-0.23702869699096013,-0.1
1.950731677280293,-0.23507779407526938,-0.1
1.9475943586477127,-0.23305506444495536,-0.1
1.9443215788621016,-0.23096071156731662,-0.1
1.9409143883278503,-0.22879495966359412,-0.1
1.9373738384659915,-0.22655805339838503,-0.1
1.9337009813680648,-0.22425025756408873,-0.1
1.9298968694605232,-0.22187185676074817,-0.1
1.925962555179632,-0.21942315507164917,-0.1
1.921899090656809,-0.21690447573502566,-0.1
1.9177075274143713,-0.2143161608122209,-0.1
1.9133889160715958,-0.211658570852637,-0.1
1.9089443060610398,-0.2089320845558065,-0.1
1.9043747453550317,-0.2061370984309053,-0.1
1.8996812802022383,-0.2032740264540227,-0.1
1.8948649548742105,-0.20034329972349207,-0.1
1.8899268114218062,-0.197345366113582,-0.1
1.8848678894413728,-0.19428068992683592,-0.1
1.8796892258505717,-0.19114975154534186,-0.1
1.8743918546737173,-0.18795304708120356,-0.1
1.868976806836506,-0.18469108802647916,-0.1
1.8634451099699874,-0.18136440090284106,-0.1
1.8577977882236507,-0.17797352691120621,-0.1
1.8520358620874693,-0.17451902158157345,-0.1
1.8461603482227582,-0.1710014544233005,-0.1
1.8401722593016954,-0.16742140857604154,-0.1
1.8340726038553372,-0.16377948046155807,-0.1
1.827862386129985,-0.16007627943661185,-0.1
1.8215426059517263,-0.15631242744713308,-0.1
1.8151142585989886,-0.15248855868385597,-0.1
1.8085783346829465,-0.14860531923960188,-0.1
1.801935820035599,-0.14466336676838296,-0.1
1.79518769560536,-0.1406633701464922,-0.1
1.7883349373599768,-0.13660600913573728,-0.1
1.7813785161966154,-0.13249197404896884,-0.1
1.7743193978589284,-0.12832196541804472,-0.1
1.767158542860942,-0.1240966936643676,-0.1
1.7598969064175713,-0.11981687877212104,-0.1
1.7525354383816059,-0.1154832499643284,-0.1
1.745075083186982,-0.1110965453818464,-0.1
1.7375167797981672,-0.10665751176540215,-0.1
1.7298614616654826,-0.10216690414077272,-0.1
1.7221100566861955,-0.09762548550720451,-0.1
1.7142634871712041,-0.09303402652915765,-0.1
1.7063226698171408,-0.08839330523145794,-0.1
1.6982885156837366,-0.08370410669793468,-0.1
1.6901619301762623,-0.07896722277361151,-0.1
1.6819438130328854,-0.07418345177051491,-0.1
1.673635058316787,-0.06935359817716344,-0.1
1.6652365544128516,-0.06447847237178486,-0.1
1.656749184028794,-0.05955889033931627,-0.1
1.648173824200547,-0.054595673392225846,-0.1
1.6395113463017532,-0.049589647895197264,-0.1
1.63076261605721,-0.04454164499371055,-0.1
1.6219284935601153,-0.03945250034654965,-0.1
1.6130098332929543,-0.034323053862258784,-0.1
1.6040074841518854,-0.029154149439572896,-0.1
1.5949222894744794,-0.023946634711836445,-0.1
1.5857550870706636,-0.018701360795423838,-0.1
1.5765067092567295,-0.013419182042171268,-0.1
1.5671779828922758,-0.008100955795827203,-0.1
1.557769729419929,-0.002747542152520349,-0.1
1.5482827649077369,0.0026401962747525376,-0.1
1.5387179000940754,0.00806139458762356,-0.1
1.5290759404349639,0.013515185829845372,-0.1
1.519357686153649,0.019000701210782456,-0.1
1.5095639322923422,0.024517070324919482,-0.1
1.4996954687659845,0.03006342136739934,-0.1
1.489753080417936,0.03563888134560844,-0.1
1.4797375470774559,0.041242576286830895,-0.1
1.4696496436188742,0.04687363144199316,-0.1
1.459490140022349,0.0525311714855225,-0.1
1.4492598014360951,0.05821432071134708,-0.1
1.4389593882399854,0.06392220322506412,-0.1
1.4285896561104243,0.0696539431323088,-0.1
1.4181513560863974,0.07540866472335331,-0.1
1.4076452346365975,0.08118549265396818,-0.1
1.397072033727543,0.08698355212258504,-0.1
1.3864324908925891,0.09280196904379026,-0.1
1.375727339301758,0.09863987021819304,-0.1
1.364957307832288,0.10449638349870136,-0.1
1.354123121139835,0.11037063795324809,-0.1
1.3432254997302369,0.11626176402400673,-0.1
1.3322651600317732,0.12216889368313685,-0.1
1.3212428144678345,0.1280911605851033,-0.1
1.3101591715299434,0.13402770021561133,-0.1
1.2990149358510448,0.13997765003720022,-0.1
1.2878108082790105,0.1459401496315408,-0.1
1.2765474859502874,0.1519143408384793,-0.1
1.265225662363624,0.15789936789187597,-0.1
